task_template;answer;author;created_by;task_id
"Фотограф снимает закат над морем в режиме таймлапса. Каждую секунду автоматически делается один снимок — растровое изображение 2560×1440 пикселей с палитрой из 2¹⁸ цветов. Съёмка длилась 3 часа. Все снимки затем объединяются в видеоролик с частотой 30 кадров в секунду. Сжатие не применяется, звуковая дорожка отсутствует.
Сколько Мбайт занимает снятое видео?";85449;Дарья С.;ADMIN;7
В библиотечной системе каждой книге присваивается шифр, состоящий из 180 символов. Шифр содержит только латинские буквы (52 символа: строчные и заглавные) и цифры от 0 до 9. Используется посимвольное кодирование, каждый символ кодируется минимально возможным целым количеством бит. Для хранения шифра выделяется целое минимально возможное количество байт. Определите объём памяти в Кбайтах, необходимый для хранения шифров 8192 книг. В ответе запишите целое число.;1080;Дарья С.;ADMIN;11
Система безопасности аэропорта хранит коды доступа сотрудников. Каждый код состоит из 96 символов и включает только символы из специального алфавита из 500 знаков и десятичные цифры. Каждый символ кодируется минимально возможным целым количеством бит одинаково для всех символов. Под каждый код выделяется целое минимально возможное количество байт. Сколько Кбайт занимают коды 2048 сотрудников? В ответе запишите целое число.;216;Дарья С.;ADMIN;11
В онлайн-игре каждому игроку генерируется никнейм длиной 64 символа. Никнейм может содержать символы из игрового алфавита из 3000 специальных знаков, русские буквы (33 буквы, только строчные) и цифры от 0 до 9. Каждый символ кодируется минимально возможным целым количеством бит. Под никнейм выделяется целое минимально возможное количество байт. Определите объём памяти в Кбайтах для хранения никнеймов 16 384 игроков. В ответе запишите целое число.;1536;Дарья С.;ADMIN;11
Каждый сотрудник склада получает уникальный пропуск из 20 символов. Каждый символ может быть латинской буквой (строчной или заглавной, всего 52), десятичной цифрой или символом из особого служебного набора. Используется посимвольное кодирование: каждый символ кодируется одинаковым минимально возможным числом бит, для хранения каждого пропуска отводится одинаковое минимально возможное число байт. Известно, что для хранения списка из 5000 пропусков выделено не более 200 Кбайт. Какое наибольшее количество символов может входить в особый служебный набор?;65474;Дарья С.;ADMIN;11
Интернет-магазин присваивает каждому товару артикул из 18 символов. Каждый символ артикула — это цифра от 0 до 9, символ из набора из 14 знаков препинания или символ из особого каталожного набора. Используется посимвольное кодирование: каждый символ кодируется одинаковым минимально возможным числом бит, для хранения каждого артикула отводится одинаковое минимально возможное число байт. Известно, что для хранения 12 288 артикулов выделено не более 432 Кбайт. Какое наибольшее количество символов может входить в особый каталожный набор?;65512;Дарья С.;ADMIN;11
В медицинской системе каждому пациенту присваивается код из 24 символов. Каждый символ — это заглавная латинская буква (26 штук), цифра от 0 до 9 или символ из особого медицинского реестра. Каждый символ кодируется одинаковым минимально возможным числом бит, для хранения каждого кода отводится одинаковое минимально возможное число байт. Известно, что для хранения 8000 кодов выделено не более 375 Кбайт. Какое наибольшее количество символов может входить в особый медицинский реестр?;65500;Дарья С.;ADMIN;11
На почтовом сортировочном центре каждой посылке присваивается трек-номер, содержащий десятичные цифры, 52 латинские буквы (с учётом регистра) и символы из 900-символьного специального алфавита. Используется посимвольное кодирование, где каждый символ кодируется минимально возможным целым количеством бит. Для хранения всего трек-номера выделяется целое минимально возможное количество байт. Для хранения 3000 трек-номеров отведено не более 720 Кбайт памяти. Определите максимально возможную длину трек-номера.;196;Дарья С.;ADMIN;11
На таможне каждому грузу присваивается декларационный номер, содержащий десятичные цифры, заглавные латинские буквы и символы из 3500-символьного таможенного реестра. Каждый символ кодируется минимально возможным целым количеством бит, для хранения номера выделяется целое минимально возможное количество байт. Для хранения 1500 номеров отведено более 633 Кбайт памяти. Определите минимально возможную длину декларационного номера.;289;Дарья С.;ADMIN;11
В системе учёта университета каждому студенту присваивается зачётный код, содержащий русские буквы (строчные и заглавные, 66 штук), десятичные цифры и символы из 190-символьного учебного алфавита. Каждый символ кодируется минимально возможным целым количеством бит, для хранения кода выделяется целое минимально возможное количество байт. Для хранения 5000 кодов отведено более 468 Кбайт памяти. Определите минимально возможную длину зачётного кода.;96;Дарья С.;ADMIN;11
На складе каждому контейнеру присваивается инвентарный номер, состоящий из 180 символов. Используется посимвольное кодирование, где каждый символ кодируется минимально возможным целым количеством бит. Для хранения всего номера выделяется целое минимально возможное количество байт. Для хранения 524 288 номеров доступно не более 60 Мбайт памяти. Определите максимально возможную мощность алфавита.;32;Дарья С.;ADMIN;11
В городской поликлинике каждому приёму врача присваивается код записи, состоящий из 96 символов. Используется посимвольное кодирование, где каждый символ кодируется минимально возможным целым количеством бит. Для хранения кода выделяется целое минимально возможное количество байт. Для хранения 87 040 кодов доступно не более 10 Мбайт памяти. Определите максимально возможную мощность алфавита.;1024;Дарья С.;ADMIN;11
В страховой компании каждому договору присваивается регистрационный код, состоящий из 140 символов. Используется посимвольное кодирование, где каждый символ кодируется минимально возможным целым количеством бит. Для хранения кода выделяется целое минимально возможное количество байт. Для хранения 327 680 кодов доступно более 50 Мбайт памяти. Определите минимально возможную мощность алфавита.;513;Дарья С.;ADMIN;11
В системе регистрации патентов каждой заявке присваивается реестровый код, состоящий из 420 символов. Используется посимвольное кодирование, где каждый символ кодируется минимально возможным целым количеством бит. Для хранения кода выделяется целое минимально возможное количество байт. Для хранения 358 400 кодов доступно более 225 Мбайт памяти. Определите минимально возможную мощность алфавита.;4097;Дарья С.;ADMIN;11
