task_template;answer;created_by;task_id;author
Камень бросают в глубокое ущелье. При этом в первую секунду он пролетает $8$ метров, а в каждую следующую секунду на $6$ метров больше, чем в предыдущую. Сколько метров пролетит камень за первые восемь секунд?;232;Admin_M;76;ФИПИ
Камень бросают в глубокое ущелье. При этом в первую секунду он пролетает $10$ метров, а в каждую следующую секунду на $4$ метра больше, чем в предыдущую. Сколько метров пролетит камень за первые восемь секунд?;192;Admin_M;76;ФИПИ
Камень бросают в глубокое ущелье. При этом в первую секунду он пролетает $12$ метров, а в каждую следующую секунду на $5$ метров больше, чем в предыдущую. Сколько метров пролетит камень за первые восемь секунд?;236;Admin_M;76;ФИПИ
Камень бросают в глубокое ущелье. При этом в первую секунду он пролетает $15$ метров, а в каждую следующую секунду на $7$ метров больше, чем в предыдущую. Сколько метров пролетит камень за первые восемь секунд?;316;Admin_M;76;ФИПИ
Камень бросают в глубокое ущелье. При этом в первую секунду он пролетает $18$ метров, а в каждую следующую секунду на $3$ метра больше, чем в предыдущую. Сколько метров пролетит камень за первые восемь секунд?;228;Admin_M;76;ФИПИ
У Лены есть теннисный мячик. Она со всей силы бросила его об асфальт. После первого отскока мячик подлетел на высоту $240$ см, а после каждого следующего отскока от асфальта подлетал на высоту в два раза меньше предыдущей. После какого по счёту отскока высота, на которую подлетит мячик, станет меньше $10$ см?;6;Admin_M;76;ФИПИ
У Вани есть теннисный мячик. Он со всей силы бросил его об асфальт. После первого отскока мячик подлетел на высоту $180$ см, а после каждого следующего отскока от асфальта подлетал на высоту в два с половиной раза меньше предыдущей. После какого по счёту отскока высота, на которую подлетит мячик, станет меньше $10$ см?;5;Admin_M;76;ФИПИ
У Кости есть теннисный мячик. Он со всей силы бросил его об асфальт. После первого отскока мячик подлетел на высоту $300$ см, а после каждого следующего отскока от асфальта подлетал на высоту в четыре раза меньше предыдущей. После какого по счёту отскока высота, на которую подлетит мячик, станет меньше $10$ см?;4;Admin_M;76;ФИПИ
У Нади есть теннисный мячик. Она со всей силы бросила его об асфальт. После первого отскока мячик подлетел на высоту $150$ см, а после каждого следующего отскока от асфальта подлетал на высоту в три раза меньше предыдущей. После какого по счёту отскока высота, на которую подлетит мячик, станет меньше $10$ см?;4;Admin_M;76;ФИПИ
У Саши есть теннисный мячик. Он со всей силы бросил его об асфальт. После первого отскока мячик подлетел на высоту $210$ см, а после каждого следующего отскока от асфальта подлетал на высоту в три раза меньше предыдущей. После какого по счёту отскока высота, на которую подлетит мячик, станет меньше $10$ см?;4;Admin_M;76;ФИПИ
В ходе распада радиоактивного изотопа его масса уменьшается вдвое каждые $5$ минут. В начальный момент масса изотопа составляла $600$ мг. Найдите массу изотопа через $25$ минут. Ответ дайте в миллиграммах.;18,75;Admin_M;76;ФИПИ
В ходе распада радиоактивного изотопа его масса уменьшается вдвое каждые $4$ минуты. В начальный момент масса изотопа составляла $1000$ мг. Найдите массу изотопа через $20$ минут. Ответ дайте в миллиграммах.;31,25;Admin_M;76;ФИПИ
В ходе распада радиоактивного изотопа его масса уменьшается вдвое каждые $8$ минут. В начальный момент масса изотопа составляла $960$ мг. Найдите массу изотопа через $32$ минуты. Ответ дайте в миллиграммах.;60;Admin_M;76;ФИПИ
В ходе распада радиоактивного изотопа его масса уменьшается вдвое каждые $3$ минуты. В начальный момент масса изотопа составляла $760$ мг. Найдите массу изотопа через $18$ минут. Ответ дайте в миллиграммах.;11,875;Admin_M;76;ФИПИ
В ходе распада радиоактивного изотопа его масса уменьшается вдвое каждые $7$ минут. В начальный момент масса изотопа составляла $420$ мг. Найдите массу изотопа через $21$ минуту. Ответ дайте в миллиграммах.;52,5;Admin_M;76;ФИПИ
В ходе биологического эксперимента в чашку Петри с питательной средой поместили колонию микроорганизмов массой $8$ мг. За каждые $15$ минут масса колонии увеличивается в $4$ раза. Найдите массу колонии микроорганизмов через $75$ минут после начала эксперимента. Ответ дайте в миллиграммах.;8192;Admin_M;76;ФИПИ
В ходе биологического эксперимента в чашку Петри с питательной средой поместили колонию микроорганизмов массой $20$ мг. За каждые $30$ минут масса колонии увеличивается в $2$ раза. Найдите массу колонии микроорганизмов через $90$ минут после начала эксперимента. Ответ дайте в миллиграммах.;160;Admin_M;76;ФИПИ
В ходе биологического эксперимента в чашку Петри с питательной средой поместили колонию микроорганизмов массой $100$ мг. За каждые $25$ минут масса колонии увеличивается в $5$ раз. Найдите массу колонии микроорганизмов через $100$ минут после начала эксперимента. Ответ дайте в миллиграммах.;62500;Admin_M;76;ФИПИ
В ходе биологического эксперимента в чашку Петри с питательной средой поместили колонию микроорганизмов массой $15$ мг. За каждые $10$ минут масса колонии увеличивается в $6$ раз. Найдите массу колонии микроорганизмов через $40$ минут после начала эксперимента. Ответ дайте в миллиграммах.;19440;Admin_M;76;ФИПИ
В ходе биологического эксперимента в чашку Петри с питательной средой поместили колонию микроорганизмов массой $25$ мг. За каждые $12$ минут масса колонии увеличивается в $3$ раза. Найдите массу колонии микроорганизмов через $60$ минут после начала эксперимента. Ответ дайте в миллиграммах.;6075;Admin_M;76;ФИПИ
